Us,Ir,Temp
229;117;2300
229;117;2300
229;117;2300
228;117;2300
229;117;2300
230;117;2300
229;117;2300
229;117;2300
228;117;2300
228;117;2300
229;117;2300
229;117;2300
228;117;2300
228;117;2300
228;117;2300
228;117;2300
228;117;2300
228;117;2300
228;117;2300
229;117;2300
228;117;2300
228;117;2300
228;117;2299
228;117;2293
228;117;2293
228;117;2293
228;117;2293
228;117;2293
228;117;2293
228;117;2293
229;117;2293
229;117;2293
229;117;2293
229;117;2293
229;117;2293
229;117;2293
228;117;2293
228;117;2293
229;117;2293
230;117;2293
228;117;2293
228;117;2293
228;117;2293
228;117;2293
229;117;2293
228;117;2293
230;117;2293
229;117;2293
228;117;2293
229;117;2290
229;117;2292
228;117;2293
228;117;2293
228;117;2293
228;117;2293
229;117;2293
228;117;2292
228;117;2290
228;117;2290
